,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
349,itarema,2,BR,1562999517,91,-2.92,-39.92,72.41,5.93
350,gazli,0,UZ,1562999951,8,40.13,63.45,105.35,17.87
351,indore,40,US,1562999951,88,38.35,-81.15,69.8,0.18
352,vestmannaeyjar,98,IS,1562999952,94,63.44,-20.27,52.61,7.72
353,rovaniemi,90,FI,1562999952,81,66.5,25.72,46.4,6.93
354,bad munstereifel,43,YE,1562999952,36,14.54,44.22,79.61,0.6
355,husavik,49,CA,1562999952,79,50.56,-96.99,63.0,4.34
356,san clemente,87,ML,1562999910,59,13.3,-4.9,80.87,12.62
357,kodinsk,15,RU,1562999953,26,58.6,99.18,83.75,3.98
358,lata,67,IN,1562999953,95,30.78,78.62,48.83,7.9
359,rorvik,100,NO,1562999954,95,64.86,11.24,51.01,7.56
360,nemuro,75,JP,1562999954,93,43.32,145.57,64.4,4.7
361,mecca,67,SA,1562999782,17,21.43,39.83,97.61,9.93
362,aspindza,99,GE,1562999954,85,41.57,43.25,52.97,3.24
363,muli,100,CN,1562999955,97,28.08,109.56,68.99,1.68
364,dukat,2,AL,1562999955,71,40.25,19.57,78.01,2.82
365,bloomsburg,1,US,1562999955,100,41.0,-76.45,66.99,1.36
366,kirakira,50,SB,1562999956,72,-10.46,161.92,83.39,4.5
367,avera,1,US,1562999956,88,33.19,-82.53,79.0,4.7
368,nacala,20,MZ,1562999495,73,-14.56,40.69,73.4,17.22
369,derzhavinsk,0,KZ,1562999956,29,51.1,66.31,86.09,15.3
370,portland,90,US,1562999273,93,43.66,-70.25,68.0,5.82
371,hami,0,CN,1562999957,19,42.84,93.51,89.51,8.19
372,zyryanovsk,50,KZ,1562999957,63,49.74,84.27,70.25,4.43
373,touros,20,BR,1562999534,100,-5.2,-35.46,73.4,4.7
374,mackay,66,CA,1562999488,67,53.65,-115.58,59.0,4.7
375,grand centre,0,FR,1562999535,87,48.39,5.49,60.8,3.36
376,wanning,75,AT,1562999523,87,48.64,13.53,60.01,14.99
377,narasannapeta,78,IN,1562999959,46,18.42,84.04,95.63,8.84
378,port hedland,72,CD,1562999959,52,-7.04,29.76,69.71,3.96
379,buluang,90,PH,1562999959,70,10.47,123.98,84.2,4.7
380,elista,0,RU,1562999959,64,46.31,44.27,69.8,6.71
381,oranjemund,0,ZA,1562999487,94,-28.55,16.43,54.05,13.22
